;Id;text;S_naive;S
4103;4103;Great pay, stable company that is still growing quickly. ;0;0.0
4104;4104;Financially sound company. You get a decent wage and benefits.. ;0;0.0
4106;4106;Great colleagues and a few diamonds is management. ;0;0.0
4107;4107;We work a 9/80 work schedule. ;0;0.0
4108;4108;Great company with great benefits. ;0;0.0
4109;4109;Lots of different challenges, out of town projects and assignments.. ;0;0.0
4110;4110;very talented people work here. ;0;0.0
4111;4111;If you got good people you work with it is good. ;0;0.0
4112;4112;Great people and freedom when working get your job done is all they ask. ;0;0.0
4113;4113;Benefits, atmosphere, PTO, profit sharing, 401k. ;0;0.0
4114;4114;Growing Company, lots and lots of work to be done, expect to be pressured to stay late, they run a lean staff, but the company is very financially stable.. ;0;0.0
4116;4116;Stable job and flexible work hours. ;0;0.0
4117;4117;Great place to learn and work in a fast paced environment. ;0;0.0
4118;4118;Great Pay and Benefits... Open Door policy . Nice office Environment, promote from within.. ;0;0.0
4119;4119;great company to work for. ;0;0.0
4120;4120;They offer great benefits and retirement match. ;0;0.0
4121;4121;Great company to work for.. ;0;0.0
4122;4122;Loyal leadership, bonuses, salaries are paid on time. ;0;0.0
4123;4123;Salary here is great. Management is great. They really listen to the needs and concerns of the employees.. ;0;0.0
4124;4124;I love working for enterprise!. ;0;0.0
4125;4125;Good pay and good management. ;0;0.0
4126;4126;Pay is awesome, they are veteran friendly, great time off benefits, 6% match 401k with additional 4% added from company.. ;0;0.0
4127;4127;Love my job, best job I have ever had.. ;0;0.0
4128;4128;Good people. Good training. Good benefits.. ;0;0.0
4129;4129;Many good people with a high level of professionalism work there, but that can be found in any company this size. The benefits are good.. ;0;0.0
4130;4130;Has a very competitive salary. ;0;0.0
4131;4131;Good pay, benefits, and new equipment. ;0;0.0
4134;4134;Experience, education, growth, challenging, productive. ;0;0.0
4135;4135;Always something to work on. ;0;0.0
4136;4136;Strong stable company that is growing. ;0;0.0
4137;4137;Structure in place for growth Benefits. ;0;0.0
4138;4138;Good pay, great people, good benefits. ;0;0.0
4139;4139;Good pay, great benefits, great 401k match.. ;0;0.0
4140;4140;Friendly environment and helpful employees. ;0;0.0
4141;4141;This is the best company ever.. ;0;0.0
4142;4142;The pay is very good. ;0;0.0
4143;4143;Pays is ok but could better. ;0;0.0
4146;4146;I have yet to find a downside to this company. ;0;0.0
4147;4147;Good team environment, good pay and benefits. ;0;0.0
4151;4151;Flexible on schedule if WFH was needed.. ;0;0.0
4152;4152;Great pay and great benefits. ;0;0.0
4153;4153;Good pay, and you get a company truck. ;0;0.0
4154;4154;* Industry leading company with a solid upper management team. * The Company promotes upward and lateral movement internally. * Competitive compensation and benefits, particularly when company and employee performance is good.. ;0;0.0
4155;4155;Big company with small family feel, aggressive and profitable industry with stable performance and returns. ;0;0.0
4157;4157;Rare layoffs at the company. ;0;0.0
4158;4158;Very good day to day job!. ;0;0.0
4159;4159;Great culture, and great people. Very professional environment.. ;0;0.0
4160;4160;I enjoy my job, the people I work with are great. ;0;0.0
4161;4161;Worked control room for 24 years. ;0;0.0
4162;4162;Pay is good, great benefits, easy to learn the job and progress, professional place to work.. ;0;0.0
4163;4163;Working from home and on weekends for overtime is good. Being by coworkers with lie minded ideals is a plus. ;0;0.0
4165;4165;excellent benefits, profit sharing, 401k. ;0;0.0
4166;4166;Good pay, large and well established Company. ;0;0.0
4168;4168;Great benefits, corporate experience, many employee perks. ;0;0.0
4169;4169;Great benefits, casual atmosphere, large company.. ;0;0.0
4173;4173;"Benefits, Salary, Retirement, ""Family"" atmosphere, and Schedule. ";0;0.0
4174;4174;Nice work environment. Down to earth and helpful co-workers.. ;0;0.0
4175;4175;pay was generous, they seem to have a lucrative business model. ;0;0.0
4176;4176;Good salary and benefits, overtime possible.. ;0;0.0
4179;4179;Good pay and excellent benefits.. ;0;0.0
4180;4180;Awesome experience, training, and benefits. ;0;0.0
4181;4181;Great pay for what it is. ;0;0.0
4182;4182;None that I can think of.. ;0;0.0
4183;4183;They have an excellent benefits package.. ;0;0.0
4184;4184;A lot depends on the job title, good 401k match, profit sharing, bonus, stock.. ;0;0.0
4185;4185;Pay decent, benefits are good. Its a little better then not working. ;0;0.0
4187;4187;Great working environment and benefit. ;0;0.0
4189;4189;Competitive salaries and benefits. Manageable work schedule. ;0;0.0
4191;4191;"Let's get real. YES, Enterprise is a giant corporation. YES, sometimes the corporate office is a meat grinder. YES, sometimes management is hard on you. YES, there are communications breakdowns across groups...blah blah blah. But let's get real, what major corporation doesn't have these issues?? You adapt and overcome and get on with it...Here's what I will say about my experience with Enterprise (and yes, I realize that there could be [read: are] others having wildly different experiences based on location, direct management, position, et al); in my experience if you show up hungry every day, work hard, learn something, and stay focused you will advance and you will be compensated for it. It sounds overly cliché, but it's not. I've had several managers both in operations and in commercial, some (ok one) of them very difficult, but I was still advanced and continued to receive merit increases because I refused to give in to the temptation of complacency. The culture of Enterprise is such that actual hard work, team-building and dedication will be rewarded, and nay-saying, laziness and complacency will stick out like a sore thumb. Cliché or not, that's what I've experienced, and there's my two cents.. ";0;0.0
4192;4192;Flextime, 401k match, Bonus, People. ;0;0.0
4193;4193;Great benefits and salary always have a decent raise.. ;0;0.0
4195;4195;They pay good for your experience. Good benefits. Some good people to work for if you get the right manager and team mates. Good schedule and you get almost all of your days off. I would recommend a friend to get training to go elsewhere.. ;0;0.0
4196;4196;Promote hard work and great values. ;0;0.0
4197;4197;Stable company Good management Central location Long term growth. ;0;0.0
4199;4199;Nice people to work with. ;0;0.0
4200;4200;Management makes smart decisions and thinks strategically for the long term. Still buy their units when they go on sale. Not sure how much culture nd changed since founder Dan Duncan's death, but he kept company ethical, fair, and honest.. ;0;0.0
4201;4201;"- The People - One of the best aspects of working at Enterprise was the people you interact with on a daily basis. The majority of the ""worker"" level people are smart, capable and friendly. - The Assets - Enterprise has a lot of assets that are well integrated and well run by the Operations team. This makes it much easier to do your job as a member of the team at the corporate office. - Bonuses - Once you get into the bonus pool, the LTIP and STIP are both very competitive.. ";0;0.0
4203;4203;When I worked at Enterprise I felt they were always fair with the pay and how they treated employees. Some employees would gripe about the company but I never had any complaints with the company. They are good about getting you to the boat and getting you off the boat when it is crew change time.. ;0;0.0
4205;4205;The pay is good, however, they will expect a lot in return. Enterprise also supports additional training and allows the employees to attend seminars, even if it is out of town. Being a big company you are provided with, or have access to the latest software and hardware.. ;0;0.0
4206;4206;Benefits are a plus. Good for someone that has to visit the doctor often or that has kids. They also have low Copays.. ;0;0.0
4207;4207;Leadership recognizes hard workers, rewards those who improve the overall systems and compensates well those who strive to make the company the best it can be.. ;0;0.0
4210;4210;GREAT company, mgrs look out for us. Benefits are excellent. Start off with vacation day 1. Allow transfers. ;0;0.0
4213;4213;"Good benefits; but comparable to many here. Housing available; very important in this booming oil area.. ";0;0.0
4214;4214;Good pay, generous bonus and stock grants, company values doing the right thing in its operations.. ;0;0.0
4216;4216;Great company to work for overall. They are an honest business who hire people with integrity and a good work ethics.. ;0;0.0
4217;4217;There is no micromanaging. You're given a task and a timeframe to do it. They were generous with the PTO policy.. ;0;0.0
4219;4219;Great Pay, chances for advancement quickly, Friday's early dismissal. Heavy interaction with upper management.. ;0;0.0
4220;4220;"This company was a great place to work because it was close to home, but the supervisors weren't so great. The wages were awful! I worked there for a year and was never given my 90 day review or my 6 month review; meaning I was never given the raise I was promised!. ";0;0.0
4221;4221;Pay and benefits and it definitely was not the management. The business model is so good, that management skills can be completely lacking and the company still stays profitable.. ;0;0.0
4222;4222;Company has a lot of learning potential for anyone who is interested in the marketing and commercial side of the Oil and Gas industry.. ;0;0.0
4223;4223;"Great benefits with flex hours (come in early or late as long as you are within a window and get all your hours); Fully Vested after 3 years with up to 6% match on 401K and starting out with 3 weeks PTO.. ";0;0.0
4224;4224;I worked with a lot of really smart, motivated people. The company is willing to spend money on technology (important to me since this position was in IT). Salary was at market for the job and city.. ;0;0.0
4226;4226;I feel fortunate that everyone I have worked closely with has been very supportive, uplifting, and willing to teach.. ;0;0.0
4227;4227;The pay is competitive, benefits are competitive, and some areas I am told are nice to work in. Hourly employees are nice people.. ;0;0.0
4228;4228;I know Enterprise is a great company to work and they have great people who work there.. ;0;0.0
4231;4231;Enterprise has a great working environment and good people. Half day Fridays. Most departments do not work late hours downtown.. ;0;0.0
4232;4232;Great hours (1/2 day fridays), approachable upper management, strategic business planning around current assets, great bonus and stock discounts, & generous holiday schedule.. ;0;0.0
4233;4233;Easy to gain access to training, emergency response team is easy to join, great co workers, competitive salary across the board.. ;0;0.0
4236;4236;Very stable company, do your job and you won't have problems. I enjoy going to work each day.. ;0;0.0
4238;4238;Great company to work for. I worked in accounting and had a good team, best benefits and valuable employee programs.. ;0;0.0
4239;4239;It is one of the best places that I've ever worked for. Very family oriented environment and great benefits.. ;0;0.0
4240;4240;The great atmosphere and the company community involvement. Half day Fridays. The location downtown is great.. ;0;0.0
4241;4241;Benefits are competitive with other like companies. ;0;0.0
4242;4242;A very competent senior management team which leads the company in a manner that provides assurance of long term stability.. ;0;0.0
4245;4245;Good compensation and benefits. Job security. Colleagues are usually very friendly and willing to help. Downtown Houston location can be convenient.. ;0;0.0
4246;4246;nan;0;0.0
4248;4248;Everyone is willing to help you learn and get the most out of your days whiling being there 5 days a week.. ;0;0.0
4251;4251;great benefits and they never mess with your 5-2 5-3 schedule, you can plan your whole year out. ;0;0.0
4253;4253;Great company, excellent pay and benefits, fosters a great working environment. Very engaged leadership.. ;0;0.0
4255;4255;Very professional, nice people, fair salary. ;0;0.0
4256;4256;High pay and Benefits and a lot of paid vacation.. ;0;0.0
4257;4257;Most people are very friendly, with a relaxed environment. Managers are pretty informal and easy to talk to. Doing better than other O&G companies. ;0;0.0
4258;4258;Great company, very professional. Weathering the hard time in the energy market well.. ;0;0.0
4259;4259;Great coworkers, high top out pay for a small plant, good schedule. ;0;0.0
4260;4260;Great Benefits. Good work schedule decent equipment willing to work with you if you need days off for one reason or other. ;0;0.0
4261;4261;Work hours are good. Get off at noon every Friday. Pay is also competitive.. ;0;0.0
4265;4265;Team work was outstanding at this company.. ;0;0.0
4266;4266;Good place to learn the midstream oil & gas industry and people there are friendly. Good benefits and half day Fridays are always a plus.. ;0;0.0
4267;4267;Pay was good, co-workers good, benefits good. During my time they had a very liberal sick leave program. Pretty much take off at a whim.. ;0;0.0
4269;4269;Pay and benefits.. ;0;0.0
4270;4270;Enjoy my work and my co-workers. ;0;0.0
4274;4274;Stable company with long-term fixed contracts. Great benefits with 6% 401k match plus an extra 4% for profit sharing. Corporate training is impressive, all new employees go through an orientation and then a full week at Mont Belvieu for an overview of all aspects of the company.. ;0;0.0
4275;4275;Great benefits, successful atmosphere, Good people. ;0;0.0
4276;4276;Very Large company, positioned very well in Midstream with both up/down partnerships. Very good compensation & benefits.. ;0;0.0
4277;4277;Great benefits and relaxed work environment.. ;0;0.0
4278;4278;Excellent benefits great personal time and vacation. ;0;0.0
4280;4280;Great flexibility in my work schedule with half a day off on Friday. Pay & benefits are excellent.. ;0;0.0
4281;4281;Fair pay and Benefits for the employees.. ;0;0.0
4282;4282;Great conservative management team keeps the company running in hard times.. ;0;0.0
4283;4283;Good Company I could not pass the physical. ;0;0.0
4284;4284;Good Company to work for. Great benefits and coworkers.. ;0;0.0
4285;4285;Worked with some good people. Training was good. Well prepared for natural disasters and emergencies.. ;0;0.0
4286;4286;the work schedule is very nice. you work 8.75 hours mon-thurs and 5 hours on friday. almost as nice as a 9/80 schedule. ;0;0.0
4287;4287;Best job I've ever had and awesome leadership.. ;0;0.0
4288;4288;They had a great location down town and did a pretty good job of taking employees out to lunch to show their appreciation. The pay is also pretty good.. ;0;0.0
4289;4289;Great benefits pay is good hours are good. ;0;0.0
4291;4291;I'm trying to think actually. Back in the day before they moved to downtown they actually gave out nice Christmas gifts.. ;0;0.0
4292;4292;Very little overtime, great benefits, work half days on Fridays,.. ;0;0.0
4293;4293;Good pay and pay. Work hours are excellent. They reward you for doing your job well.. ;0;0.0
4294;4294;Good pay benefits people great work schedule. ;0;0.0
4295;4295;benefits, compensation, open office space. ;0;0.0
4296;4296;Good benefits, 401k, good pay.. ;0;0.0
4297;4297;401K, stock purchase, some flexible hours. ;0;0.0
4298;4298;Interesting work, great company with great benefits and employee training programs.. ;0;0.0
4299;4299;Great Benefits. Mileage paid on vehicle, company credit cards, some admins get a company vehicle to drive plus cell phones.. ;0;0.0
4300;4300;Enterprise has a good benefits package as well as good 401k matching. I enjoyed the people I worked with. The software and computers were kept up to date.. ;0;0.0
4301;4301;Great benefits and if you put in the time, enterprise rewards you.. ;0;0.0
4302;4302;Lots of work to do. ;0;0.0
4303;4303;Awesome place to work. Good leadership.. ;0;0.0
4304;4304;Excellent Company with decent benefits. ;0;0.0
4305;4305;nan;0;0.0
4306;4306;This is a great place to work.. ;0;0.0
4307;4307;Great benefits and every Friday is a half day.. ;0;0.0
4308;4308;Great work environment and good benefits.. ;0;0.0
4309;4309;Pay and benefits competitive with industry, that's about it.. ;0;0.0
4310;4310;Both management and employees were great to work with.. ;0;0.0
4312;4312;The work environment was great. Everyone was helpful.. ;0;0.0
4313;4313;Easy work,no management breathing down your throat,go at your own pace,co-workers were pretty ok for the most part,off on weekends and holidays,benefits.. ;0;0.0
4314;4314;Good benefits, good people, good company. ;0;0.0
4315;4315;Awesome benefits, good people and supervisors.. ;0;0.0
4316;4316;Excellent challenge vs rewards and requirements to better yourself.. ;0;0.0
4317;4317;Great internship experience overall and great people.. ;0;0.0
4318;4318;big company lots of good employees. ;0;0.0
4319;4319;It has a small company feel. ;0;0.0
4320;4320;Awesome company to work for! Always learning something new. ;0;0.0
4321;4321;Great company to work for. Good ethics.. ;0;0.0
4322;4322;"Home every night; great benefits; good management. ";0;0.0
4324;4324;Great benefits. Good people. Great company.. ;0;0.0
4325;4325;Fast moving company, great culture. ;0;0.0
4326;4326;The pay and benefits are great!. ;0;0.0
4327;4327;better than some oilfield companies. ;0;0.0
4328;4328;decent pay, great working enviroment. ;0;0.0
4329;4329;Overall good job. Great Pay.. ;0;0.0
4330;4330;great culture and benefits. good pay. ;0;0.0
4331;4331;Ok I like it at Enterptise. ;0;0.0
4332;4332;its good pay and benefits. ;0;0.0
4333;4333;Good company with good pay and benefits. ;0;0.0
4334;4334;The people are great to work with. ;0;0.0
4335;4335;Great Management Flexible Schedule Ongoing training provided. ;0;0.0
4336;4336;Employees great to work with. Good pay and benefits. ;0;0.0
4337;4337;Exciting, fast paced work environment. ;0;0.0
4338;4338;Good Benefits Easy to work with. ;0;0.0
4339;4339;Good benefits and flexible schedules.. ;0;0.0
4340;4340;"Decent benefits 401K match; subsidized parking/transportation.. ";0;0.0
4341;4341;Steady, Great Co-Workers Could be so much BETTER !!!! Ok. ;0;0.0
4342;4342;Working at Mont Belvieu kept you challenged and always moving. The number and variations of projects made it enjoyable to work. The vast amount of process equipment in the Mont Belvieu complex will expand your knowledge base.. ;0;0.0
4343;4343;Good benefits, nice work schedule, nice people. ;0;0.0
4344;4344;Not many when they lay you off at age 65 because you make too much money. I guess they don't believe that the longer you work at a company the more you will make.. ;0;0.0
4346;4346;You get paid the industry average for the job you do, benefits same as peer companies, field workers good that's it.. ;0;0.0
4347;4347;Not many can say they were happy and content at a job for nearly 20 years. I'm grateful for that.. ;0;0.0
4348;4348;Good pay and benefits. Good area to work.. ;0;0.0
4349;4349;Midstream Energy Services Leader Great place to learn about a merchant player in an industry segment once dominated by nat gas producers Laid back culture, very informal work environment. ;0;0.0
4350;4350;The money and benefits are very good. The work is boring and thankless.. ;0;0.0
4351;4351;Half Fridays, allot of promotions and the ability to move up fast.. ;0;0.0
4352;4352;Stable company. Good financial outlook. Will weather the oil pricing downturn just fine.. ;0;0.0
4353;4353;EPD is doing well given the energy climate. Lots of key assets and remains profitable. I believe pay is competitive with good benefits.. ;0;0.0
4354;4354;Co workersTravel payTravel pay,travel pay,Benefits. ;0;0.0
4355;4355;It was great years ago. But it quickly went downhill over the last 7 years.. ;0;0.0
4356;4356;salary and other financial compensation, really nice people. ;0;0.0
4358;4358;Work along side many intelligent people and have access to upper management.. ;0;0.0
4359;4359;Want to get projects done quickly and you have the freedom to figure out why. ;0;0.0
4360;4360;The hush money is pretty good.. ;0;0.0
4361;4361;Benefits ,uniforms, boots , big company. ;0;0.0
4362;4362;Half day Friday's Half day Friday's Half day Friday's Half day Friday's Half day Friday's Half day Friday's Half day Friday's Half day Friday's Half day Friday's Half day Friday's. ;0;0.0
4363;4363;Great benefits and pay for the work load.. ;0;0.0
4364;4364;Good benefits and bonus. Stable job. ;0;0.0
4365;4365;pay competitve, benefits competitive, other hourly employees nice.. ;0;0.0
4366;4366;Employees work hard and get reasonably compensated.. ;0;0.0
4367;4367;Challenging work, half day Fridays, parking assistance, nice building. ;0;0.0
4368;4368;Half day Friday's Subsidized bus pass. ;0;0.0
4371;4371;Good salary. Good benefits. Great experience in oil and gas.. ;0;0.0
4372;4372;Great place, never dull. Provides a challenge. Great people. Great fulfillment of accomplishment. ;0;0.0
4373;4373;Great pay and great benefits. ;0;0.0
4375;4375;Stable, good benefits and salaries. ;0;0.0
4376;4376;good pay for the work being done. ;0;0.0
4377;4377;Stay busy with broken equipment issues. ;0;0.0
4379;4379;Easy Money Camaraderie with employees good benefits. ;0;0.0
4380;4380;Decent benefits, pay was just ok. ;0;0.0
4382;4382;Good assets and well positioned for success. ;0;0.0
4383;4383;Great benefits, great pay and pto.. ;0;0.0
4384;4384;To gain experience for next job.. ;0;0.0
4385;4385;Promotes people from within. ;0;0.0
4386;4386;Engineering Rotational Development Program is excellent. ;0;0.0
4387;4387;Their benefits are good. That's about the only upside to working at Enterprise.. ;0;0.0
4388;4388;There are no pros working for this company. ;0;0.0
4389;4389;CEO very good at leading company to profits.. ;0;0.0
4390;4390;Pay, benefits, nothing else, oh wait maybe, nah never mind!. ;0;0.0
4391;4391;There are no Pros to write. ;0;0.0
4392;4392;Good days off, good work hours. ;0;0.0
4393;4393;Good pay and benefits pention. ;0;0.0
4394;4394;Benefits and bonus are competitive. ;0;0.0
4395;4395;Great company with awesome 401K and benefits. ;0;0.0
4396;4396;It is good and facilitates good working culture to employee.. ;0;0.0
4397;4397;people, pay, hours, time, conditions. ;0;0.0
4398;4398;Small company that is growing, so there is lot of movement and lots of jobs.. ;0;0.0
4400;4400;Pay is competitive with other companies. ;0;0.0
4401;4401;the compensation and benefits are good. ;0;0.0
4403;4403;Benefits are great here, good pay. ;0;0.0
4406;4406;Still attract great talents. Compensation is fair. Coworkers are nice and very smart.. ;0;0.0
4407;4407;Early shifts help getting the day over faster. ;0;0.0
4408;4408;40 hr work weeks, which is great but they offered no overtime. ;0;0.0
4409;4409;Great culture , environment and values. ;0;0.0
4410;4410;Pay is fair and people are nice.. ;0;0.0
4411;4411;Salary and benefits are very competitive. ;0;0.0
4413;4413;Great people and good experience. ;0;0.0
4414;4414;Great culture and great people. ;0;0.0
4415;4415;Company going through a re-org, but it's not a bad thing. Management is doing what they can to keep employees informed. ;0;0.0
4416;4416;Customers rightfully trust GE's brand, as we work hard to stay on the bleeding edge of our transformational technology.. ;0;0.0
4418;4418;Flexible working Good teammates Social events. ;0;0.0
4419;4419;Fantastic people to work with and grow with.. ;0;0.0
4420;4420;Solid company with strong leadership.. ;0;0.0
4421;4421;The corporate culture is starting to shift which is great to see.. ;0;0.0
4422;4422;Competitive pay and benefits. Good room for growth and overall a rapidly improving outlook. ;0;0.0
4423;4423;Great company to be a part of, outstanding culture, feels and is indeed very large and global, great reasonable leadership, relatively competitive pay, feels much less stressful than retail or telecom businesses as large pieces of business having slowdown during weekends and major holidays. The company continues its path of continuous improvement, refining its focus on the top lines of business, etc.. ;0;0.0
4425;4425;Learned best in class practices. Worked with awesome co-workers and leaders. Strong belief in employee development and investing in employees to be the best they can be.. ;0;0.0
4426;4426;Good money for the job. ;0;0.0
4427;4427;plenty of time to do self learning. ;0;0.0
4428;4428;flexible, growing company with good benefits and job security. ;0;0.0
4429;4429;Integrity, calm environment, good attitude and respecttable.. ;0;0.0
4430;4430;high performing employees work there. ;0;0.0
4431;4431;Great work environment, very learning driven. Everyone is very passionate about what they do!. ;0;0.0
4432;4432;- Diversity in work assigned. ;0;0.0
4434;4434;good place to work if you like working. ;0;0.0
4435;4435;Good Salary and benefits, and interesting projects. ;0;0.0
4439;4439;Not good enought, but not too bad. ;0;0.0
4440;4440;Pay is competitive. Very loose and casual work environment. Awesome learning experience to work with Union employees.. ;0;0.0
4443;4443;None that I can think of unless you like living at work. ;0;0.0
4444;4444;Very good opening salary at first. ;0;0.0
4445;4445;cool products and nice people. ;0;0.0
4447;4447;Love it. Good working conditions. ;0;0.0
4448;4448;Good brand for resume, big internal network.. ;0;0.0
4451;4451;Outstanding history of management excellence. ;0;0.0
4452;4452;Great culture and positive outlook.. ;0;0.0
4453;4453;Culture is good for employees. ;0;0.0
4454;4454;Dynamic work environment and great team. ;0;0.0
4455;4455;Good people and overall good environment. ;0;0.0
4456;4456;Great work environment and work place. ;0;0.0
4458;4458;Good place to work. Competitive salary and benefits. ;0;0.0
4459;4459;Larry Culps is a good CEO to work for. He leads with integrity which has positively trickled down to subsequent management. Great global teams.. ;0;0.0
4460;4460;Strong training program for all employees. ;0;0.0
4462;4462;Great company with strong culture and products. ;0;0.0
4463;4463;Working remote is very flexible. ;0;0.0
4465;4465;Pay is average and work is interesting. ;0;0.0
4466;4466;Wonderful to work for as a professional. ;0;0.0
4467;4467;Large company benefits Potential job mobility. ;0;0.0
4468;4468;Ongoing learning is as available. ;0;0.0
4469;4469;1. employees are treated well, lot of mutual respect and trust 2. working in a highly specialized engineering based company 3. new leadership and changes for the better. ;0;0.0
4471;4471;Proper PPE'S where always worn.. ;0;0.0
4472;4472;Large company, fairly stable, many different businesses. ;0;0.0
4473;4473;Excellent Trainning gives you a lot of experience fast. ;0;0.0
4474;4474;great pay work isn't typically very hard. ;0;0.0
4475;4475;Great work environment and flexibly. ;0;0.0
4476;4476;Good company to work, research culture. ;0;0.0
4477;4477;Competitive salary Has numerous businesses Many work locations Flexible work schedule. ;0;0.0
4478;4478;Not a lot of work. ;0;0.0
4479;4479;10 paid holidays. You start off with 2 weeks vacation plus 3 paid personal days.. ;0;0.0
4480;4480;I was a contractor from another country. I learned to communicate across different teams. ;0;0.0
4481;4481;Great work atmosphere at GE. ;0;0.0
4483;4483;Experienced, loyal, trustworthy, team player, goal oriented, open minded, think outside the box, focused, driven, open to new ideas, efficient, organized, excellent judgment and discretion, friendly, flexible, positive attitude. ;0;0.0
4484;4484;Good Challenges Good Company Culture Global Exposure. ;0;0.0
4485;4485;very laid back atmosphere. easy time off, good pay, ok benefits. great group of people to be around. easy work. ;0;0.0
4486;4486;Great Place to work, Amazing people, Genuine interest and investment in the professional development of its employees,. ;0;0.0
4487;4487;great team with lots of knowledge and very helpful.. ;0;0.0
4488;4488;Solid company with strong products portfolio. ;0;0.0
4489;4489;Great Maternity Leave (16 weeks paid) Great Paternity Leave (10 weeks paid) Hybrid work. ;0;0.0
4491;4491;Lots of smart people, durable businesses, competitive pay. ;0;0.0
4492;4492;Reliable pay and work. Vacation days. ;0;0.0
4493;4493;Great company to work for. ;0;0.0
4494;4494;nan;0;0.0
4497;4497;Loved the work and the location. ;0;0.0
4499;4499;Great core values, employee engagement, great compensation/benefits. ;0;0.0
4501;4501;Being a mechanical engineer at GE is great because I get to work. ;0;0.0
4504;4504;Flexible work schedule Great management Job security. ;0;0.0
4505;4505;Great people, learning environment, wonderful challenges. ;0;0.0
4509;4509;flexible work time, pay is good, great entry level programs. ;0;0.0
4510;4510;Easy for some one that is single. It is at a fair price. Easy to handle during set up time. ;0;0.0
4511;4511;Everything is good and very stable.. ;0;0.0
4512;4512;Network and colleagues are good. ;0;0.0
4513;4513;Great PTO policy that you're guilted into not taking advantage of, meaningful and industry leading work. People on an individual basis are generally great to work with and helpful.. ;0;0.0
4514;4514;Global exposure, flexible wh and location, talented peers, company products and missions. ;0;0.0
4516;4516;Very helpful for people that are just starting a new job. ;0;0.0
4518;4518;Excellent environment to learn effective leadership and decision making skills. ;0;0.0
4520;4520;Good benefits, great stress free work environment, flexibility, supporting team members.. ;0;0.0
4521;4521;Coworkers are experienced, often experts in their fields. ;0;0.0
4522;4522;Great place to work all around. ;0;0.0
4524;4524;major conglomerate operating all over the world. ;0;0.0
4525;4525;Nice people and fun atmosphere.. ;0;0.0
4526;4526;Unlimited vacation Fair compensation Values hard work. ;0;0.0
4527;4527;Medical Benefits were pretty decent. ;0;0.0
4529;4529;Good Ethical values at GE. ;0;0.0
4530;4530;Easy busy work with lots of very very nice overtime.. ;0;0.0
4531;4531;Innovative and start different initiatives. ;0;0.0
4534;4534;Global reach and presence. Great company that helps you to establish connections and networking in many different countries with many different knowledgable people.. ;0;0.0
4535;4535;Cutting edge work keeps it interesting. ;0;0.0
4538;4538;The good, I'd have to say the people. Met lots of talented folks, practically from every corner of the world.. ;0;0.0
4539;4539;not much to say ... overall ok. ;0;0.0
4540;4540;General Electric was always a great company to work for.. ;0;0.0
4541;4541;great place but also bad and its tough to come up with all of the words but sometimes you just have to do it. ;0;0.0
4542;4542;it was a cool place to work at. ;0;0.0
4544;4544;Decent people to work with. ;0;0.0
4545;4545;Good money and good benefits.. ;0;0.0
4546;4546;mostly good people and reasonable management. ;0;0.0
4547;4547;GE is a fast paced place to worj. ;0;0.0
4548;4548;Just ok company. You will be fine.. ;0;0.0
4549;4549;Good benefits. Good work perks. Friendly environment.. ;0;0.0
4554;4554;- good people but that's dependent on where you are. ;0;0.0
4555;4555;Salary, training, travel, cutting edge. ;0;0.0
4556;4556;iNOVATION AT BEST in new adventures. ;0;0.0
4557;4557;Flexibility, Culture, People, Innovation & Beliefs. ;0;0.0
4558;4558;Flexible hours, nice office space, unlimited vacation.. ;0;0.0
4559;4559;interesting work place, great place to learn from older engineers. ;0;0.0
4560;4560;Lots of people to work with, if you get into the right projects.. ;0;0.0
4561;4561;Clean warehouse Location right off 70 Understandable company if your having issues where you need to miss work.. ;0;0.0
4562;4562;Established company with great products and reputation.. ;0;0.0
4565;4565;You learn good skills and challenging work. ;0;0.0
4566;4566;1. Good environment 2. Good help from domain experts. ;0;0.0
4567;4567;real awesome and the benefits are good too. ;0;0.0
4568;4568;Stable company not going anywhere. ;0;0.0
4569;4569;nan;0;0.0
4570;4570;Sometimes a new CEO has to have prior experience in a sector related to the company he or she is leading. Other times, the CEO needs to have worked for years at the company. But occasionally an outsider’s point of view is needed to see what others can’t (or won’t) about a company’s implosion.. ;0;0.0
4571;4571;Employer matches up to 4% and adds additional 3% towards retirement funds. ;0;0.0
4572;4572;Good with customer service jobs. ;0;0.0
4573;4573;There are many Creative people at the office and it is a global company with many people around the globe.. ;0;0.0
4574;4574;Very interesting projects with good benefits compared to other companies. ;0;0.0
4575;4575;work is not hard. Hours are reasonable. its ok if you need something steady but no room for growth.. ;0;0.0
4576;4576;I liked it a lot. ;0;0.0
4577;4577;Good benefits and flexibility to work remotely.. ;0;0.0
4578;4578;good company good environment great place great management. ;0;0.0
4581;4581;Good people to work with. ;0;0.0
4582;4582;Great Place for everyone to work. ;0;0.0
4583;4583;Structured Good benefits: medical, dental 401k Multiple businesses and global. ;0;0.0
4584;4584;Interesting and challenging work. Great technology.. ;0;0.0
4585;4585;Best company I’ve had the pleasure to work with.. ;0;0.0
4586;4586;benefits, salary, vacation, teams, managers. ;0;0.0
4587;4587;Don't need to work much. no pros I can see . sdsd sdsd sdsd sdsd. sd. ;0;0.0
4588;4588;Good company overall. Happy employee. ;0;0.0
4589;4589;State of the work projects and very organized team and tasks. Ever helpful team members.. ;0;0.0
